post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49485416,I accidentally turned LLM memory into program analysis,technology,68,10,matt_d,2026-08-29 10:11:26,0.14492753623188406,False
49477854,U.S. sanctions against the A/I Collective,technology,521,491,exiguus,2026-08-29 10:11:26,0.9406130268199234,True
49486081,"StemDeck, a free, open-source and local AI stem separator",technology,44,11,thclpr,2026-08-29 10:11:26,0.24444444444444444,False
49484925,Identifying fake cosmetics using AI,technology,42,14,wgrover,2026-08-29 10:11:26,0.32558139534883723,False
49479072,Verschlimmbesserung: The Word Your Software Updates Need,technology,114,73,speckx,2026-08-29 10:11:26,0.6347826086956522,True
49415923,Sloc Cloc and Code 4.0 (scc) – Finding the files that need the most attention,technology,33,2,boyter,2026-08-29 10:11:26,0.058823529411764705,False
49483816,Stopping the smart TV from being used against you,technology,164,135,speckx,2026-08-29 10:11:26,0.8181818181818182,True
49475079,Luanti removed from Google Play due to baseless AI copyright notice,technology,472,144,miniBill,2026-08-29 10:11:26,0.3044397463002114,True
49486188,OpenAI and Anthropic are ruining San Francisco,technology,13,5,catchmeifyoucan,2026-08-29 10:11:26,0.35714285714285715,False
49486272,ASCII City: Traffic and Detail Update [video],technology,8,0,guiambros,2026-08-29 10:11:26,0.0,False
49436886,The ArtQrCode a twist on the classic black and white Quick Response Code,technology,6,2,Bluestein,2026-08-29 10:11:26,0.2857142857142857,False
49478091,I used AWS cognito for a startup. I wouldn't do it again,technology,171,120,speckx,2026-08-29 10:11:26,0.6976744186046512,True
49474786,Sovereign Tech Agency invests €500k in Flatpak,technology,251,135,eigenspace,2026-08-29 10:11:26,0.5357142857142857,True
49472820,Terminal-Bench-Science: Evaluating AI agents on scientific research workflows,technology,114,35,matt_d,2026-08-29 10:11:26,0.30434782608695654,True
49486278,"""We quit the CDC last year. The problems we protested remain""",technology,6,0,EA-3167,2026-08-29 10:11:26,0.0,False
49483436,Show HN: Hacker News Client with Claude Code and Codex Integration,technology,7,0,kamranahmedse,2026-08-29 10:11:26,0.0,False
49458875,Humanity has the debate about AI consciousness backwards,technology,114,359,semiquaver,2026-08-29 10:11:26,3.121739130434783,True
49464314,"MIT's Ad Hoc Committee on AI Use in Teaching, Learning, and Research Training",technology,140,82,pbui,2026-08-29 10:11:26,0.5815602836879432,True
49477311,AI Agent Has Root,technology,38,64,lowcache,2026-08-29 10:11:26,1.641025641025641,False
49468642,We found a division by zero bug in FFmpeg with a vibecoded fuzzer,technology,288,251,dclavijo,2026-08-29 10:11:26,0.8685121107266436,True
49485536,"Long March 6C rocket stage fragments in orbit, creating cloud of debris",technology,7,0,bookmtn,2026-08-29 10:11:26,0.0,False
49478170,KHMS – a file-based long-term memory an LLM agent installs into itself,technology,10,0,ksxcz,2026-08-29 10:11:26,0.0,False
49466715,Launch HN: Salem Robotics (YC S26) – Software for industrial inspection robots,technology,47,31,Salem_robotics,2026-08-29 10:11:26,0.6458333333333334,False
49484743,AI demands more engineering discipline. Not less,technology,9,1,fagnerbrack,2026-08-29 10:11:26,0.1,False
49458418,CEO fired developers to make room for AI. Developers create open source AI CEO,technology,1009,703,GrumpySciGuy,2026-08-29 10:11:26,0.696039603960396,True
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,72,21,dev_l1x_be,2026-08-29 10:11:26,0.2876712328767123,False
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,60,26,EndXA,2026-08-29 10:11:26,0.4262295081967213,False
